# x_m, y_m, w_tr_right_m, w_tr_left_m
-1.287730956364399404e+01,3.770968125343221455e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.321624722301010912e+01,3.870422723857728009e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.355519038990092540e+01,3.969887278282261622e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.389413927614430477e+01,4.069361718007529660e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.423309402295883785e+01,4.168845760596372685e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.457205470095380484e+01,4.268339476658077558e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.491101728539963389e+01,4.367842230709026552e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.524997351500928033e+01,4.467352822391271516e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.558891498727711422e+01,4.566870051346867854e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.592783301726033507e+01,4.666392858436451796e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.626671927306263044e+01,4.765920043302075193e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.660556521095977445e+01,4.865450334976501701e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.694436235783686584e+01,4.964982674320362221e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.728310209936040209e+01,5.064515860975719264e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.762177603302475859e+01,5.164048765193911095e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.796037568571500387e+01,5.263580116007700482e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.829889251370695291e+01,5.363108854277725435e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.863731797327639228e+01,5.462633709036744278e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.897564366191767604e+01,5.562153621145398574e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.931386103590662984e+01,5.661667319636445761e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.965196155151902957e+01,5.761173745370528287e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.998993680624925062e+01,5.860671627380400039e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.032777825637308666e+01,5.960159835917409943e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.066547735816632780e+01,6.059637170623608959e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.100302570912336009e+01,6.159102572359633321e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.134041469491066678e+01,6.258554699548954048e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.167763598363193012e+01,6.357992563661501784e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.201468089034435494e+01,6.457414893730042849e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.235154362508608017e+01,6.556820277568742306e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.268847626302586562e+01,6.656185202283719349e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.302620452645627935e+01,6.755445342810902254e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.336550490575009675e+01,6.854532137528755342e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.370715396188939650e+01,6.953376883597171876e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.405192818524694331e+01,7.051911019394617952e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.440059149774172553e+01,7.150031172919118383e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.475265980207487004e+01,7.244195087870673788e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.510535928285997898e+01,7.324551002926940058e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.545567096925240946e+01,7.380571214023153637e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.580057574918895824e+01,7.401728228922404007e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.613705458121568981e+01,7.377494414169214920e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.646231006644303108e+01,7.298431708277028029e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.677605538993106649e+01,7.167439328732997161e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.707959216334949559e+01,6.995222773796556659e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.737424685283846415e+01,6.792610543112005850e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.766134627758453846e+01,6.570431418760811049e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.794221704494644243e+01,6.339514041605840866e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.821832182638657471e+01,6.110258948378843868e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.849262592968843322e+01,5.888340089874152916e+00,1.500000000000000000e+00,1.500000000000000000e+00
